sct;year;capitaux_propres;passifs_non_courant;total_bilan;stock;creance_client;actif_immobilier;resultat_net;chiffre_d_affaires
APRIL;12.17;614800.0;6500.0;1692500.0;0.0;226700.0;76262.0;19800.0;861200.0
APRIL;12.18;632116.0;37482.0;1736319.0;0.0;247264.0;79241.0;40220.0;928418.0
APRIL;12.19;617092.0;51876.0;1810781.0;0.0;265878.0;91372.0;29702.0;997238.0
APRR (AUTOROUTES PRR);12.17;121900.0;6612200.0;8171200.0;8500.0;78000.0;7473600.0;332900.0;1833700.0
APRR (AUTOROUTES PRR);12.18;220600.0;6278800.0;7940400.0;8300.0;84500.0;7459000.0;349400.0;2197900.0
APRR (AUTOROUTES PRR);12.19;336200.0;6025700.0;7900800.0;7900.0;94200.0;7455600.0;418900.0;2241500.0
ARCHOS;12.17;40417.0;10735.0;97499.0;41086.0;26122.0;2059.0;-6498.0;114121.0
ARCHOS;12.18;22382.0;10750.0;69856.0;26663.0;18336.0;2874.0;-22994.0;63253.0
ARCHOS;12.19;-9859.0;11354.0;30317.0;3400.0;11532.0;656.0;-36472.0;35380.0
AREVA;12.17;5556000.0;5564000.0;31255000.0;2608000.0;2130000.0;10699000.0;-74000.0;9342000.0
AREVA;12.18;5081000.0;5659000.0;32090000.0;2331000.0;2067000.0;11372000.0;-423000.0;9240000.0
AREVA;12.19;-245000.0;6870000.0;29920000.0;2020000.0;2079000.0;10986000.0;-4845000.0;8336000.0
ARGAN;12.17;517683.0;740511.0;1421513.0;2608000.0;23241.0;10366.0;91682.0;9342000.0
ARGAN;12.18;653477.0;755084.0;1532546.0;2331000.0;17309.0;12175.0;144525.0;9240000.0
ARGAN;12.19;1238726.0;893582.0;2946449.0;2020000.0;40642.0;11805.0;215036.0;8336000.0
ARKEMA;12.17;4474000.0;2250000.0;9576000.0;1145000.0;1115000.0;3645000.0;581000.0;8326000.0
ARKEMA;12.18;5028000.0;2246000.0;10111000.0;1136000.0;1247000.0;3886000.0;715000.0;8816000.0
ARKEMA;12.19;5324000.0;2377000.0;10977000.0;1014000.0;1204000.0;4501000.0;551000.0;8738000.0
AB SCIENCE;12.17;10735.0;20381.0;50600.0;159.0;449.0;1910.0;-27122.0;1739.0
AB SCIENCE;12.18;-14962.0;17535.0;22491.0;153.0;236.0;1725.0;-26061.0;1701.0
AB SCIENCE;12.19;-26829.0;24226.0;17740.0;230.0;197.0;1610.0;-21747.0;1571.0
ABC ARBITRAGE;12.17;148867.0;0.0;153935.0;159.0;7217.0;1386.0;18309.0;0.0
ABC ARBITRAGE;12.18;146291.0;0.0;151983.0;153.0;8169.0;1161.0;19679.0;0.0
ABC ARBITRAGE;12.19;139902.0;2242.0;146354.0;230.0;6323.0;3046.0;18339.0;0.0
ACCOR;12.17;5826000.0;2768000.0;12076000.0;8000.0;403000.0;2964000.0;481000.0;1937000.0
ACCOR;12.18;6443000.0;2760000.0;12975000.0;15000.0;617000.0;4236000.0;2284000.0;3282000.0
ACCOR;12.19;6978000.0;3281000.0;13904000.0;20000.0;649000.0;3681000.0;485000.0;4049000.0
ACTIA GROUP;12.17;127451.0;97559.0;429273.0;108898.0;125065.0;80927.0;8510.0;433320.0
ACTIA GROUP;12.18;132817.0;79053.0;515870.0;136051.0;150262.0;111095.0;9194.0;476520.0
