,sct,year,capitaux_propres,passifs_non_courant,total_bilan,stock,creance_client,actif_immobilier,resultat_net,chiffre_d_affaires
45,Bh-Assurance,2019,63231135.0,64154890.0,312025361.0,0.0,69516265.0,192906249.0,9507170.0,65426700.23
46,BIAT,2017,1040997000.0,12532600000.0,14179166000.0,0.0,9354473000.0,326613000.0,22422000.0,22446228.485626
47,BIAT,2018,1231947000.0,14724731000.0,16511844000.0,0.0,10632421000.0,342252000.0,24262000.0,37282251.770164
48,BIAT,2019,1492383000.0,14890436000.0,16886271000.0,0.0,10352516000.0,376954000.0,24957000.0,65540872.206
49,BNA,2017,1005793000.0,9640829000.0,11031353000.0,0.0,8566339000.0,105716000.0,195040000.0,201495292.299548
50,BNA,2018,1187477000.0,10318550000.0,11838341000.0,0.0,9083401000.0,123816000.0,165999000.0,179265403.649
51,BNA,2019,1561655000.0,11402192000.0,13235091000.0,0.0,10284998000.0,145869000.0,131032000.0,213179743.284
52,BT,2017,833232000.0,4714061000.0,5629391000.0,0.0,4210630000.0,100322000.0,133542000.0,144467663.1
53,BT,2018,873108000.0,5417154000.0,6370738000.0,0.0,4529014000.0,115215000.0,112309000.0,112333857.538956
54,BT,2019,992827000.0,5306079000.0,6394955000.0,0.0,4514231000.0,118813000.0,134457000.0,323063742.369
55,BTE,2017,1101582000.0,892476000.0,1101582000.0,0.0,724486000.0,16932000.0,649000.0,5072989.705189
56,BTE,2018,1205132000.0,1005467000.0,1205132000.0,0.0,735619000.0,17167000.0,906000.0,1734628.77596
57,BTE,2019,1184103000.0,977122000.0,1184103000.0,0.0,745429000.0,41897000.0,4348000.0,119074084.164
58,CARTHAGE CEMENT,2017,38122638.0,480730040.0,850329648.0,73801324.0,30090067.0,721543332.0,-68932768.0,70695090.701258
59,CARTHAGE CEMENT,2018,-37863454.0,444906239.0,816550844.0,52068715.0,40566057.0,697962588.0,-75986092.0,304352315.632
60,CARTHAGE CEMENT,2019,-89174206.0,398496215.0,825812159.0,90984873.0,39506932.0,662553915.0,-51310751.0,53764995.945381
61,CELLCOM,2017,13586991.0,418971.0,35416433.0,7503485.0,19177181.0,1183805.0,-1339736.0,13754073.670287
62,CELLCOM,2018,10348942.0,505401.0,38430595.0,11356112.0,21414182.0,843087.0,-3433590.0,8417433.858082
63,CELLCOM,2019,8325613.0,965162.0,37360738.0,8111816.0,24087481.0,1006347.0,-1654888.0,74585344.596
64,CEREALIS,2017,25508390.0,1077310.0,25508390.0,2523224.0,4854046.0,8006418.0,2084456.0,97365786.599388
65,CEREALIS,2018,26731683.0,1471039.0,26731683.0,3194736.0,4387850.0,8709147.0,2766594.0,8600235.934
66,CEREALIS,2019,28281028.0,1357257.0,28281028.0,3184505.0,3450917.0,9114239.0,3263567.0,26053175.9038
67,CIL,2017,75458894.0,479613346.0,555073153.0,0.0,494028603.0,6742685.0,11855161.0,13025756.409376
68,CIL,2018,82676963.0,499197974.0,581875859.0,0.0,502853803.0,7638574.0,11982005.0,14201603.12087
69,CIL,2019,90761372.0,516099228.0,606861129.0,0.0,503266572.0,8685105.0,13299351.0,197171639.359
70,CIMENTS DE BIZERTE,2017,74007798.0,118800929.0,313299939.0,52604595.0,7971708.0,213609476.0,-29988692.0,31711672.381677
71,CIMENTS DE BIZERTE,2018,40840579.0,108791355.0,287344134.0,39453818.0,7642092.0,203913497.0,-32914243.0,122930781.2809
72,CIMENTS DE BIZERTE,2019,31229851.0,89244030.0,255632977.0,38545747.0,8808582.0,187553162.0,-93841551.0,99912577.7959
73,City Cars,2017,43982587.19,4843925.145,89580956.43,21277132.32,14350562.84,20697856.36,14812231.29,27832483.060164
74,City Cars,2018,45827399.99,6093079.253,125522126.3,54442391.04,9091342.619,25147435.33,14296188.43,14385964.272612
75,City Cars,2019,47874028.0,5351725.0,139331731.0,50756154.0,12290817.0,26381926.0,15148549.0,17096555.001046002
76,DELICE HOLDING,2017,164328971.0,84432151.0,445523093.0,96446721.0,19876744.0,225709772.0,38624678.0,164418750.235316
77,DELICE HOLDING,2018,182292680.0,130616211.0,526946725.0,98366116.0,32252305.0,261775744.0,30891570.0,38876114.120427
78,DELICE HOLDING,2019,210995264.0,170415674.0,640918067.0,122647497.0,30776033.0,311328229.0,46529346.0,48477352.001046
79,ELECTROSTAR,2017,-2216173.0,16208290.0,104335165.0,23206439.0,26144405.0,30905105.0,-15658319.0,17420582.106732
80,ELECTROSTAR,2018,-24556084.0,28029262.0,105147337.0,18497292.0,45983281.0,34896713.0,-24606537.0,85277406.3557
81,ELECTROSTAR,2019,-49811550.0,93946610.0,164030895.0,10815027.0,41155858.0,53309297.0,-24887116.0,28307106.793246
82,ENNAKL AUTOMOBILES,2018,146747047.0,21867217.0,323596605.0,70413890.0,61656445.0,69871224.0,22676427.0,24896025.12087
83,ENNAKL AUTOMOBILES,2019,118093827.0,20499344.0,280088568.0,62759600.0,56344804.0,139517202.0,18669316.0,77496728.0181
84,ESSOUKNA,2017,35967083.0,17877546.0,72871348.0,57327400.0,2487748.0,10555909.0,1774868.0,3708763.341612
85,ESSOUKNA,2018,74621822.0,25133918.0,74621822.0,57378576.0,1052510.0,9346459.0,636467.0,6470108.934
86,ESSOUKNA,2019,34990559.0,22021955.0,75730094.0,57106446.0,1860085.0,8853750.0,35073.0,4928114.6653
87,EURO-CYCLES,2018,40771706.55,1713992.945,69376522.03,21490565.47,11396743.38,12970904.58,8394180.603,10342219.712116
88,EURO-CYCLES,2019,40013807.26,1360310.93,84921337.97,36766848.37,9612451.246,12488580.84,8729727.737,16437799.608085
89,GIF-FILTER,2017,10624496.0,2067448.0,23688869.0,4925190.0,6499530.0,6819904.0,-641584.0,8217703.658100001
90,GIF-FILTER,2018,8255875.0,1659742.0,21903111.0,4506902.0,6640680.0,6038235.0,-2278946.0,51454693.4517
91,GIF-FILTER,2019,2702012.0,1325387.0,18910381.0,4100386.0,4704408.0,5449782.0,-5495910.0,10246007.573075
92,HANNIBAL LEASE,2017,74198678.0,780114596.0,854325187.0,0.0,802411178.0,22464169.0,8514198.0,9507314.289334
93,HANNIBAL LEASE,2018,75795202.0,770001054.0,845811637.0,0.0,792969017.0,29577588.0,5041679.0,95055899.716
94,HANNIBAL LEASE,2019,73815449.0,662442074.0,736275823.0,0.0,656018662.0,38621536.0,656870.0,1538968.30901
95,ICF,2017,80038878.0,10607952.0,117401637.0,29200065.0,6497650.0,56034263.0,14934825.0,87640146.72
96,ICF,2018,109920660.0,6574540.0,148496715.0,41532142.0,24106259.0,56037777.0,38576899.0,41485442.9495
97,ICF,2019,115920272.0,4424664.0,155697169.0,36982916.0,33839711.0,56452955.0,23195543.0,27078705.760125
98,LAND OR,2017,4272766.0,60105444.0,64378210.0,14879466.0,12598120.0,28375166.0,2735153.0,3549568.481509
99,LAND OR,2018,19925154.0,7268923.0,78646289.0,15994008.0,14540205.0,27506771.0,6024724.0,20622072.063
100,LAND OR,2019,64191318.0,5316257.0,120313332.0,20784157.0,9385508.0,29677445.0,4662784.0,86939827.54057801
101,MAGASIN GENERAL,2017,5766857.0,170065296.0,600850030.0,187162237.0,40380537.0,252763613.0,10430156.0,11312254.30901
102,MAGASIN GENERAL,2018,-2763370.0,164987042.0,696668453.0,250831140.0,43481366.0,281338634.0,3054207.0,201894653.806
103,MAGASIN GENERAL,2019,-20625696.0,187143473.0,724388443.0,260658167.0,44704149.0,296561337.0,-13265343.0,28826135.9
104,MIP,2017,26686027.0,2349098.0,15534127.0,23058.0,4315120.0,10058545.0,-3936944.0,80166288.6908
105,MIP,2018,10561381.0,2612722.0,13108303.0,22040.0,3661960.0,8579198.0,-3485140.0,27673895.942
106,MIP,2019,12320354.0,2173374.0,11480830.0,22040.0,3031850.0,7688249.0,-1758974.0,1766069.059401
107,MPBS,2017,30330910.35,3358342.056,55623126.2,13997912.41,22257716.47,15094213.27,2792982.007,22545587.6497
108,MPBS,2018,32659180.93,3221423.247,58106644.46,15093758.71,25434473.46,14198502.47,3498006.336,3929136.312733
109,MPBS,2019,35025055.76,3826504.512,84311533.29,22107071.04,33041107.22,23329690.68,2907804.364,2958790.7918
110,NEW BODY LINE,2017,12193186.0,0.0,13601242.0,1334533.0,1547173.0,1507286.0,2000400.0,54492251.7429
111,NEW BODY LINE,2018,13120284.0,0.0,14541334.0,1533194.0,1721503.0,1700658.0,2741929.0,3624027.30901
112,NEW BODY LINE,2019,11929309.0,0.0,12605631.0,1782075.0,1227528.0,1521462.0,1337733.0,1829321.62336
113,OfficePlast,2017,17688488.0,3393431.0,28561.005,822992.0,5543374.0,11809648.0,1065916.0,1879414.38797
114,OfficePlast,2019,21943668.0,3682998.0,39563888.0,11003231.0,7253838.0,16974247.0,599834.0,1417550.356088
115,ONE TECH HOLDING,2017,213789163.0,6673258.0,222759301.0,0.0,1803619.0,199198647.0,16980712.0,18564873.554974
116,ONE TECH HOLDING,2018,336865242.0,111564759.0,673452021.0,138163163.0,208964991.0,206017728.0,57325333.0,83433181.665515
117,ONE TECH HOLDING,2019,339832081.0,91195465.0,669081247.0,131803867.0,194963705.0,212395824.0,22734112.0,23114192.6436
118,PLAC. TSIE-SICAF,2017,15491669.0,45391.0,15537060.0,0.0,0.0,9262540.0,1950650.0,3542244.316689
119,PLAC. TSIE-SICAF,2018,16035384.0,39479.0,16074863.0,0.0,0.0,9262570.0,2543715.0,10814829.331119
120,PLAC. TSIE-SICAF,2019,16663385.0,85262.0,16748647.0,0.0,0.0,9262574.0,2828001.0,192931228.133
121,POULINA GP HOLDING,2017,413044425.0,22956271.0,458067031.0,0.0,4843633.0,449629596.0,76892968.0,179262100.71144402
122,POULINA GP HOLDING,2018,866739605.0,1237284555.0,3491924979.0,778596270.0,585896804.0,348336558.0,152008990.0,382547103.024
123,POULINA GP HOLDING,2019,930141666.0,1351912460.0,3673625735.0,766662825.0,540563144.0,1430613395.0,130472737.0,130481093.476868
124,SAH,2018,219282687.0,91062201.0,758893702.0,201982178.0,174341430.0,271176485.0,22782954.0,22814423.220535
125,SAH,2019,290746250.0,95870337.0,901434487.0,253646910.0,169801032.0,362589685.0,22953910.0,23720663.103937
